location,package,name,nvloc,cloc,cd
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTick.java,org.jfree.chart.axis,DateTick,120,39,0.325
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,org.jfree.chart.axis,DateTickMarkPosition,53,44,0.8301886792452831
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnit.java,org.jfree.chart.axis,DateTickUnit,317,39,0.12302839116719243
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,org.jfree.chart.axis,DateTickUnitType,74,38,0.5135135135135135
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,org.jfree.chart.axis,ExtendedCategoryAxis,230,39,0.16956521739130434
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,org.jfree.chart.axis,LogarithmicAxis,951,41,0.04311251314405889
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\LogAxis.java,org.jfree.chart.axis,LogAxis,976,39,0.039959016393442626
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\LogTick.java,org.jfree.chart.axis,LogTick,75,42,0.56
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,org.jfree.chart.axis,MarkerAxisBand,242,49,0.2024793388429752
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\ModuloAxis.java,org.jfree.chart.axis,ModuloAxis,398,39,0.09798994974874371
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,org.jfree.chart.axis,MonthDateFormat,230,39,0.16956521739130434
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java,org.jfree.chart.axis,NumberAxis,1026,47,0.04580896686159844
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTick.java,org.jfree.chart.axis,NumberTick,84,38,0.4523809523809524
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,org.jfree.chart.axis,NumberTickUnit,139,38,0.2733812949640288
