C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnit.java,org.jfree.chart.axis,DateTickUnit,3,317
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,org.jfree.chart.axis,DateTickUnitType,2,74
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,org.jfree.chart.axis,ExtendedCategoryAxis,1,230
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,org.jfree.chart.axis,LogarithmicAxis,3,951
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\LogAxis.java,org.jfree.chart.axis,LogAxis,8,976
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\LogTick.java,org.jfree.chart.axis,LogTick,4,75
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,org.jfree.chart.axis,MarkerAxisBand,1,242
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\ModuloAxis.java,org.jfree.chart.axis,ModuloAxis,1,398
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,org.jfree.chart.axis,MonthDateFormat,230
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java,org.jfree.chart.axis,NumberAxis,16,1026
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTick.java,org.jfree.chart.axis,NumberTick,7,84
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,org.jfree.chart.axis,NumberTickUnit,7,139
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,org.jfree.chart.axis,NumberTickUnitSource,5,225
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\package-info.java,org.jfree.chart.axis,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxis.java,org.jfree.chart.axis,PeriodAxis,6,1098
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java,org.jfree.chart.axis,PeriodAxisLabelInfo,2,320
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,org.jfree.chart.axis,QuarterDateFormat,177
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java,org.jfree.chart.axis,StandardTickUnitSource,3,119
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,org.jfree.chart.axis,SubCategoryAxis,4,397
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\SymbolAxis.java,org.jfree.chart.axis,SymbolAxis,7,681
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\Tick.java,org.jfree.chart.axis,Tick,9,157
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\TickType.java,org.jfree.chart.axis,TickType,8,45
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnit.java,org.jfree.chart.axis,TickUnit,9,167
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnits.java,org.jfree.chart.axis,TickUnits,5,195
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnitSource.java,org.jfree.chart.axis,TickUnitSource,8,74
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\Timeline.java,org.jfree.chart.axis,Timeline,1,133
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueAxis.java,org.jfree.chart.axis,ValueAxis,16,1524
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueTick.java,org.jfree.chart.axis,ValueTick,9,123
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\AbstractBlock.java,org.jfree.chart.block,AbstractBlock,8,585
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\Arrangement.java,org.jfree.chart.block,Arrangement,9,68
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\Block.java,org.jfree.chart.block,Block,13,101
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BlockBorder.java,org.jfree.chart.block,BlockBorder,2,214
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BlockContainer.java,org.jfree.chart.block,BlockContainer,14,254
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BlockFrame.java,org.jfree.chart.block,BlockFrame,3,60
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BlockParams.java,org.jfree.chart.block,BlockParams,2,125
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BlockResult.java,org.jfree.chart.block,BlockResult,3,72
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\BorderArrangement.java,org.jfree.chart.block,BorderArrangement,6,511
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\CenterArrangement.java,org.jfree.chart.block,CenterArrangement,6,300
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\ColorBlock.java,org.jfree.chart.block,ColorBlock,4,175
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\ColumnArrangement.java,org.jfree.chart.block,ColumnArrangement,6,356
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\EmptyBlock.java,org.jfree.chart.block,EmptyBlock,4,111
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\EntityBlockParams.java,org.jfree.chart.block,EntityBlockParams,3,54
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\EntityBlockResult.java,org.jfree.chart.block,EntityBlockResult,3,53
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\FlowArrangement.java,org.jfree.chart.block,FlowArrangement,6,411
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\GridArrangement.java,org.jfree.chart.block,GridArrangement,6,408
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\LabelBlock.java,org.jfree.chart.block,LabelBlock,7,383
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\LengthConstraintType.java,org.jfree.chart.block,LengthConstraintType,7,52
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\LineBorder.java,org.jfree.chart.block,LineBorder,1,214
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\package-info.java,org.jfree.chart.block,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\RectangleConstraint.java,org.jfree.chart.block,RectangleConstraint,15,320
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\block\Size2D.java,org.jfree.chart.block,Size2D,14,156
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartColor.java,org.jfree.chart,ChartColor,149
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartElement.java,org.jfree.chart,ChartElement,2,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartElementVisitor.java,org.jfree.chart,ChartElementVisitor,2,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartFactory.java,org.jfree.chart,ChartFactory,69,1887
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartHints.java,org.jfree.chart,ChartHints,1,98
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartRenderingInfo.java,org.jfree.chart,ChartRenderingInfo,7,231
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartTheme.java,org.jfree.chart,ChartTheme,3,51
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartTransferable.java,org.jfree.chart,ChartTransferable,2,232
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\ChartUtils.java,org.jfree.chart,ChartUtils,12,631
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\date\MonthConstants.java,org.jfree.chart.date,MonthConstants,2,65
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\date\package-info.java,org.jfree.chart.date,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\date\SerialDate.java,org.jfree.chart.date,SerialDate,2,857
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\date\SpreadsheetDate.java,org.jfree.chart.date,SpreadsheetDate,2,408
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\Drawable.java,org.jfree.chart,Drawable,1,43
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\EncoderUtil.java,org.jfree.chart.encoders,EncoderUtil,4,178
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageEncoder.java,org.jfree.chart.encoders,ImageEncoder,4,95
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageEncoderFactory.java,org.jfree.chart.encoders,ImageEncoderFactory,4,143
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageFormat.java,org.jfree.chart.encoders,ImageFormat,3,52
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\package-info.java,org.jfree.chart.encoders,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java,org.jfree.chart.encoders,SunJPEGEncoderAdapter,2,156
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\encoders\SunPNGEncoderAdapter.java,org.jfree.chart.encoders,SunPNGEncoderAdapter,3,117
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\AxisEntity.java,org.jfree.chart.entity,AxisEntity,1,191
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\CategoryItemEntity.java,org.jfree.chart.entity,CategoryItemEntity,1,175
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\CategoryLabelEntity.java,org.jfree.chart.entity,CategoryLabelEntity,1,117
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\ChartEntity.java,org.jfree.chart.entity,ChartEntity,14,371
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\EntityCollection.java,org.jfree.chart.entity,EntityCollection,4,95
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\FlowEntity.java,org.jfree.chart.entity,FlowEntity,1,106
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\JFreeChartEntity.java,org.jfree.chart.entity,JFreeChartEntity,2,190
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\LegendItemEntity.java,org.jfree.chart.entity,LegendItemEntity,1,154
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\NodeEntity.java,org.jfree.chart.entity,NodeEntity,1,91
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\package-info.java,org.jfree.chart.entity,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\PieSectionEntity.java,org.jfree.chart.entity,PieSectionEntity,1,211
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\PlotEntity.java,org.jfree.chart.entity,PlotEntity,1,190
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\StandardEntityCollection.java,org.jfree.chart.entity,StandardEntityCollection,3,190
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\TickLabelEntity.java,org.jfree.chart.entity,TickLabelEntity,2,57
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\TitleEntity.java,org.jfree.chart.entity,TitleEntity,1,190
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\XYAnnotationEntity.java,org.jfree.chart.entity,XYAnnotationEntity,1,101
